Name,Street Address,State,Post Code,Phone,Email,Notes
Legal Aid ACT – War Veterans’ Matters,"2 Allsop Street, Canberra City",ACT,2601,(02) 6243 3411,legalaid@legalaidact.org.au,Provides free legal advice and assistance to ACT veterans on war-related compensation claims and appeals​dva.gov.au​legalaidact.org.au.
Legal Aid NSW – Veterans’ Advocacy Service,"Ground Fl, 323 Castlereagh St, Haymarket, Sydney",NSW,2000,(02) 9219 5148,veterans@legalaid.nsw.gov.au,State-wide legal advocacy service for veterans and dependents; assists with DVA claims and appeals at no cost​linc.org.au​bmvets.com.au.
Legal Aid QLD – War Veterans’ Legal Aid Scheme,"44 Herschel Street, Brisbane",QLD,4000,1300 651 188,(n/a),Federal-funded scheme offering free legal help for eligible veterans to appeal Veterans’ Review Board decisions on disability pensions​mycitylogan.com.au​mycitylogan.com.au.
RSL ACT (ACT Branch),"Irving Street, Phillip (Campbell Park Offices)",ACT,2602,(02) 6260 6344,admin@actrsl.org.au,"Territory branch of the RSL; provides advocacy and welfare support to ACT ex-service personnel (claims advice, referrals, etc.)​rslqld.org."
RSL New South Wales,"ANZAC House, 341 George Street, Sydney",NSW,2000,(02) 9264 8188,admin@rslnsw.org.au,State RSL branch representing NSW veterans. Delivers claims and rehabilitation support via RSL LifeCare Veteran Services​rslqld.org.
RSL Queensland,"283 St Pauls Terrace, Fortitude Valley, Brisbane",QLD,4006,13 4775 (134 RSL),reception@rslqld.org,Largest ex-service organisation in QLD; 230+ sub-branches with trained volunteer Compensation Advocates providing free DVA claims assistance​rslqld.org​whitepages.com.au.
RSL South Australia,"Torrens Training Depot, Victoria Drive, Adelaide",SA,5000,(08) 8100 7300,admin@rslsa.org.au,State RSL branch (also servicing NT); offers advocacy for veterans’ compensation claims and general welfare support services​rslqld.org.
RSL Tasmania,"206 New Town Road, New Town, Hobart",TAS,7008,(03) 6242 8900,admin@rsltas.org.au,"State RSL branch providing veteran support in Tasmania, including assistance with DVA compensation and rehabilitation entitlements​rslqld.org."
RSL Victoria (Veteran Central),"ANZAC House, 4 Collins Street, Melbourne",VIC,3000,(03) 9655 5555,rslvic@rslvic.com.au,State RSL branch; offers Military Compensation Advocacy – free expert advice and assistance with DVA claims/appeals via Veteran Central​rslvic.com.au​rslvic.com.au.
RSL Western Australia,"Level 4, 28 St Georges Terrace, Perth",WA,6000,(08) 9287 3799,reception@rslwa.org.au,State RSL branch in WA; provides claims advocacy (pensions/compensation) and veteran welfare services through trained advocates​rslqld.org.
RSL LifeCare Veteran Services (DefenceCare),"Level 5, 120 Pacific Hwy, St Leonards, Sydney",NSW,2065,(02) 8088 0388,veteranservices@rsllifecare.org.au,"RSL NSW-affiliated charity (formerly DefenceCare) providing free DVA claims lodging, advocacy at VRB/AAT, emergency financial help, and wellbeing support​rsllifecare.org.au​engage.forcenet.gov.au."
Vietnam Veterans Federation of Australia (VVFA),"Veterans Support Centre, 8 Mary Street, Granville",NSW,2142,(02) 9682 1788,secretary@vvfagranville.org,ESO operated by Vietnam veterans; its support centre has accredited advocates to help all veterans with DVA compensation claims and appeals​dva.gov.au.
Mates4Mates (Family Recovery Centre),"40 Anne Street, Aitkenvale, Townsville",QLD,4814,1300 4 MATES (1300 462 837),enquiry@mates4mates.org,"Not-for-profit founded by RSL QLD offering rehabilitation services for veterans and families – physical rehab, mental health programs, etc.​dva.gov.au."
Soldier On Australia,"Bldg 2, Suite 5, Brindabella Cct, Canberra Airport",ACT,2609,1300 620 380,info@soldieron.org.au,"National charity supporting veterans’ transition and wellbeing (employment, education, psychological rehab). Offers referral and advocacy for service-related needs​dva.gov.au​soldieron.org.au."
