List of Philanthropic Organisations Supporting Australian Military Veterans,,,,
Name,Address,Telephone,Website,Confirmation
RSL Australia (National Office),"Unit 5, Level 5, 7 London Cct, Canberra ACT 2601",(02) 5114 3313,rslaustralia.org,Update (your entry was an RSL NSW number + a NSW address). Real Commercial+1
Soldier On,(National contact),1300 620 380,soldieron.org.au,OK (contact correct; offices listed by region rather than a single HQ street address). Soldier On
Mates4Mates,"Brisbane Centre: 274 Stafford Rd, Stafford QLD 4053 (within RSL Queensland Veteran & Family Wellbeing Centre)",1300 462 837,mates4mates.org,Update (moved from Milton/Eight Mile Plains). Mates 4 Mates+1
Legacy Australia (National Office),"Level 8, 35 Clarence St, Sydney NSW 2000",1800 534 229,legacy.com.au,Update (your address was for Melbourne Legacy club). Legacy
Wounded Heroes Australia,"41 Brisbane Rd, Bundamba QLD 4304",Crisis 1300 532 112 • Office 1300 853 080,woundedheroes.org.au,Update (not Sunbury VIC). Wounded Heroes
AVCAT (Australian Veterans’ Children Assistance Trust),"Level 3, 30 Hunter St, Sydney NSW 2000",(02) 9213 7999,avcat.org.au,Update (no longer at St Leonards). RSL LifeCare
Young Veterans Australia,"(Registered office) 1/17 Culverlands St, Heidelberg West VIC 3081",0403 505 443 (org listings),youngveterans.com.au,Partially OK (your Caloundra PO Box may be legacy postal; use website for current chapter contacts). Young Veterans+1
Veterans Care Association,"Level 1, 185 Kelvin Grove Rd, Kelvin Grove QLD 4059",(07) 3352 6403,veteranscare.org.au,Update (not Melbourne). The Oasis Townsville
RSL DefenceCare → RSL LifeCare Veteran Services,(Network of Veteran & Family Hubs across NSW/ACT),(02) 8088 0388,rsllifecare.org.au/veteran-services,Rename + website update (DefenceCare brand retired). RSL NSW+1
Anzac Memorial (NSW),"Hyde Park South, Sydney NSW 2000",(02) 8262 2900 (general) • 9267 7668 (tour line),anzacmemorial.nsw.gov.au,OK (use numbers shown). Anzac Memorial+1
Commando Welfare Trust,"Postal: PO Box 2035, Maroubra NSW 2035",—,commandotrust.com,Update (supersedes old Sutherland PO Box; use site contact). Commando Welfare Trust
