Medical Field,Name,Street Address,State,Post Code,Phone,Email,White Card,Gold Card,Notes,,,,
GP,Family Practice Plus Avoca,"Sugarland/Shoppingtown, Shop 322, 115 Takalvan St, Avoca",QLD,4670,07 4154 4000,familypracticeplus.avoca@australiandoctors.com.au,Yes,Yes,"Offers DVA health assessments, chronic disease management, and support with DVA paperwork and claims.",,,,
GP,Plenty Road Medical Centre,"105 Plenty Road, Bundoora",VIC,3083,03 9467 5433 / 03 9467 1233,info@plentyrdmedical.com.au,Yes,Yes,Experienced in general practice and DVA health assessments; assists with veteran care plans and DVA paperwork.,,,,
Dentist,VC Dental (East Gosford),"Suite 10, 36-40 Victoria Street, East Gosford",NSW,2250,02 4323 1933,info@vcdental.com.au,Yes,Yes,"DVA-approved dental provider; offers preventative, restorative, and prosthodontic care for veterans.",,,,
GP,Southcare Medical Services - Christies Beach,"47 Beach Road, Christies Beach",SA,5165,08 8384 2900,N/A,Yes,Yes,"Provides DVA health checks, chronic condition management, and support with DVA-related claims and documentation.",,,,
Audiologist,Australian Ears and Hearing Care,"Shop 10, Northlakes Shopping Centre, 1 Links Rd, Marrara NT 0812",NT,812,08 7942 2052,Sarah@aaahc.com.au,Yes,Yes,"Registered DVA audiology provider; offers hearing tests, hearing aids, and ongoing hearing care for DVA clients.",,,,
GP,Your Hobart Doctor,"71 Bathurst Street, Hobart",TAS,7000,1800 252 436,clinicadmin@yourhobarthealth.com.au,Yes,Yes,"Offers comprehensive DVA health checks and support for veterans with DVA claims, including care plans and referrals.",,,,
Physiotherapist,Canberra Physiotherapy Centre,"Suite B4, Canberra Specialist Centre, 161 Strickland Crescent, Deakin",ACT,2600,02 6282 3266,,Yes,Yes,"Experienced with DVA physiotherapy plans; provides rehabilitation, pain management, and injury recovery for veterans.",,,,
Social Worker (Mental Health),Health-Wise Counselling & Consultancy Service,"Suite 15, 31-35 Salamanca Place, Battery Point",TAS,7004,0412 618 009,healthwisetas@gmail.com,Yes,Yes,Provides counselling and mental health support for DVA clients; assists with mental health assessments for claims.,,,,
General Practice,Village Practice,"24 Park Road, Woonona East, NSW 2517",NSW,2517,(02) 4258 4242,reception@villagepractice.com.au,Yes,Yes,"Village Practice is a general practice clinic offering comprehensive medical care, including services for DVA Gold and White Card holders. They provide bulk billing for eligible veterans, chronic disease care plans, and health assessments. The clinic is conveniently located near Woonona train station and offers accessible facilities.",,,,
General Practice,Coolamon Regional Medical Centre,"59 Wallace Street, Coolamon NSW 2701",NSW,2701,(02) 6927 3233,j.whitbread@coolamonrmc.com.au,Yes,Yes,"The clinic offers general practice services, including DVA health assessments and support with DVA-related documentation. Bulk billing is available for DVA Gold and White Card holders, pensioners, healthcare card holders, and children under 16 years.",,,,
Nursing Service,Wagga Wagga Community Health Service DVA Community Nursing Service,"Wagga Wagga Base Hospital, 260 Edward St",NSW,2650,02 6938 6411,N/A,Yes,Yes,DVA-registered nursing service providing home-based nursing care and support for eligible veterans.,,,,
General Practice,Victoria Avenue General Practice,"118 Victoria Avenue, Mortdale, NSW",NSW,2223,02 9585 8828,reception118@gmail.com,Yes,Yes,"Experienced in DVA veteran health assessments, care planning, and support with claims and paperwork.",,,,
GP,Hobart Family Medical Practice,"Level 2, 31 Criterion Street, Hobart",TAS,7000,03 6234 1233,admin@hobartfamilymedical.com.au,Yes,Yes,"Provides GP services including support for DVA claims, health assessments, and care planning for veterans.",,,,
GP,Southcare Medical Services - Christies Beach,"47 Beach Road, Christies Beach",SA,5165,08 8384 2900,,Yes,Yes,"Offers DVA health checks, chronic disease management, and support with DVA-related documentation for veterans.",,,,
GP,Promenade Medical Centre,"Shop 1, 135 Norton Promenade, Dalyellup",WA,6230,08 9789 9299,reception@promenademedical.com.au,Yes,Yes,Bulk billing available for DVA cardholders; provides DVA health assessments and medical reports for veterans.,,,,
GP,Myhealth Chermside,"Shop 223 Westfield Chermside, Gympie Road, Chermside",QLD,4032,07 3668 0770,info@myhealth.net.au,Yes,Yes,"Provides DVA health checks, care plans, and assistance with DVA medical documentation; experienced with veteran patients.",,,,
Dentist,Smile Solutions Melbourne,"Level 1, 220 Collins St, Manchester Unity Building",VIC,3000,13 13 96 / +61 3 9650 4920,contact@smilesolutions.com.au,Yes,Yes,DVA-registered dental provider offering preventative and restorative dental care for Gold and White Card holders.,,,,
Psychologist,Hobart Psychology,"Level 2, 147 Macquarie Street, Hobart",TAS,7000,03 6224 3944,info@hobartpsychology.com.au,Yes,Yes,Offers mental health services including psychological assessments and therapy; supports DVA mental health claims.,,,,
Physiotherapist,Fremantle Physiotherapy Centre,"16 Parry Street, Fremantle",WA,6160,(08) 9335 7055,admin@fremantlephysio.com.au,Yes,Yes,Experienced in DVA physiotherapy care plans; provides rehabilitation and chronic pain management for veterans.,,,,
GP,Cairns Central Medical Centre,"Shop 142, Cairns Central Shopping Centre, McLeod Street, Cairns",QLD,4870,07 4031 3717,info@cairnscentralmedical.com.au,Yes,Yes,"Supports DVA health assessments, ongoing care for DVA-eligible conditions, and assists with DVA paperwork and claims.",,,,
Orthopaedic & Spinal Surgery,Dr. Charles New – Penrith & Bella Vista,"Suite 4, 119–121 Lethbridge St (Penrith) & Suite 13, 6 Meridian Pl (Bella Vista)",NSW,2750 / 2153,(02) 4731 4855,https://medirect.com.au/professorcharlesnew/,Yes,Yes,His military experience provides him with a deep understanding of the unique medical needs of service members and veterans.,,,,
General Practice (Veterans Health),Australian Veteran Health Services – Deakin (Canberra),"Unit 6, 12 Napier Close (Deakin)",ACT,2600,1300 766 206,contact@avhs.com.au,Yes,Yes,"Offers ADF transition medicals, DVA Permanent Impairment assessments, and assistance with DVA paperwork​avhs.com.au​avhs.com.au.",,,,
Multidisciplinary DVA Clinic,Veteran Medical – Canberra (Dickson),490 Northbourne Ave (Dickson),ACT,2602,0861 199 126,admin@veteranmedical.com.au,Yes,Yes,Veteran-focused medical service (telehealth with local clinic); helps navigate DVA claims and completes Permanent Impairment reports​veteranmedical.com.au​veteranmedical.com.au.,,,,
General Practice,East Hills Medical Centre – East Hills (Sydney),1/17 Maclaurin Ave (East Hills),NSW,2213,(02) 9773 3676,info@easthillsmedical.com.au,Yes,Yes,"General practice providing veterans’ health care, including DVA claims support and permanent impairment medicals​easthillsmedicalcentre.com.au.",,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Sydney (Telehealth),Telehealth Service (North Sydney base),NSW,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Psychiatric care for veterans’ DVA claims – provides mental health assessments and expert reports to support DVA claims​therosemarycentre.com.au​therosemarycentre.com.au.,,,,
Multidisciplinary DVA Clinic,Veteran Medical – Sydney (Warriewood),"Suite 8, 92a Mona Vale Rd (Warriewood)",NSW,2102,0861 199 126,admin@veteranmedical.com.au,Yes,Yes,Veteran-centric clinic (telehealth with local office); offers non-adversarial DVA claim support and completes incapacity & impairment documentation​veteranmedical.com.au​veteranmedical.com.au.,,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Darwin (Telehealth),Telehealth Service,NT,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Provides expert psychiatric assessments and DVA claim documentation for NT veterans via telehealth​therosemarycentre.com.au.,,,,
General Practice (Veteran-Owned),VMG Clinic – Stuart Park (Darwin),39 Stuart Hwy (Stuart Park),NT,0820,(08) 7918 2555,admin@vmgclinic.com.au,Yes,Yes,Veteran-owned GP service in Darwin; offers bulk-billed “DVA paperwork” appointments to help veterans complete claim forms and documentation​vmgclinic.com.au​vmgclinic.com.au.,,,,
