Name & Location,Field,Street Address & Contact,State,Post Code,Telephone,Emai,Website,White Card?,Gold Card?,Notes
Sydney Physio Clinic (Sydney),Physiotherapist,"Level 2/225 Macquarie St, Sydney NSW 2000.",NSW,2000,(02) 9223 2502,info@sydneyphysioclinic.com.au,sydneyphysioclinic.com.au,Yes,Yes,"Bills DVA directly (no need for veteran to pay)​sydneyphysioclinic.com.au. Focus on safe, durable management of musculoskeletal conditions to improve function and reduce pain​sydneyphysioclinic.com.au."
Pinpoint Physio & Sports Medicine (Miranda),Physiotherapist,"516 Kingsway, Miranda NSW 2228.",NSW,2228,(02) 8582 7682,info@pinpointphysiotherapy.com.au,pinpointphysiotherapy.com.au,Yes,Yes,"Provides tailored physiotherapy and exercise physiology programs for veterans, helping manage chronic conditions and recover from injury​pinpointphysiotherapy.com.au. DVA Gold and White card holders accepted with referral."
Pontifex Physiotherapy (Sutherland),Physiotherapist,"Shop 1B, 10–18 Robertson St, Sutherland NSW 2232.",NSW,2232,(02) 8515 0326,info@pontifexphysiotherapy.com,pontifexphysiotherapy.com,Yes,Yes,"Accepts DVA Gold Card patients and White Card patients for approved conditions (GP referral required)​pontifexphysiotherapy.com. Offers general physiotherapy, exercise programs and rehabilitation for veterans."
JQ Sports Physio (Wetherill Park),Physiotherapist,"Shop 219, Stockland Wetherill Park, 561–583 Polding St, Wetherill Park NSW 2164.",NSW,2164,(02) 9757 3737,info@jqsportsphysio.com.au,,Yes,Yes,"Offers physiotherapy and exercise physiology for veterans and first responders. DVA Gold and White Card holders (with accepted conditions for White) are eligible for care, with individually tailored treatment plans​jqsportsphysio.com.au​jqsportsphysio.com.au."
JQ Sports Physio (Abbotsbury),Physiotherapist,"Shop 8, 60–68 Stockdale Cres, Abbotsbury NSW 2176.",NSW,2176,(02) 8729 8333,Abbotsbury@jqsportsphysio.com.au,jqsportsphysio.com.au,Yes,Yes,Second location of JQ Sports Physio providing the same veteran-focused services as Wetherill Park. Accepts DVA referrals (Gold Card covers all conditions; White Card covers accepted injuries)​jqsportsphysio.com.au.
Hills Physiocare (Castle Hill),Physio/Chiropractic,"Suite 9, 3–9 Terminus St, Castle Hill NSW 2154.",NSW,2154,(02) 8097 9368,hillsphysiocare@gmail.com,,Yes,Yes,"Multidisciplinary clinic offering physiotherapy, chiropractic, and podiatry to veterans. DVA Gold Card covers all clinically needed treatment; White Card covers accepted service-related conditions​physiocastlehill.com.au. Services include musculoskeletal pain management, chronic disease rehab, and pre/post-surgical care​physiocastlehill.com.au."
Keilor Road Physiotherapy (Niddrie),Physiotherapist,"493–495 Keilor Rd, Niddrie VIC 3042.",VIC,3042,(03) 9379 4557,info@keilorroadphysio.com.au,keilorroadphysio.com.au,Yes,Yes,"No-gap DVA physio: DVA clients with a referral are treated with no out-of-pocket fees​keilorroadphysio.com.au. Specialises in musculoskeletal rehab for veterans, with personalized plans to improve mobility and quality of life​keilorroadphysio.com.au."
Richmond Rehab (Cremorne),Physiotherapist,"Level 1, 2 Royal Pl, Cremorne VIC 3121.",VIC,3121,1300 559 600,info@richmondrehab.com.au,richmondrehab.com.au,Yes,Yes,"Provides clinic and in-home physiotherapy for veterans. DVA Gold Card holders receive funded physio for all conditions, and White Card holders for accepted conditions​richmondrehab.com.au. Services include massage, exercise programs, and neurological rehab, with direct DVA billing."
Wellbeing Chiropractic (Hoppers Crossing),Chiropractor,"63 Heaths Road, Hoppers Crossing VIC 3029.",VIC,3029,(03) 9974 6966,info@wellbeing365.com,wyndham.vic.gov.au,Yes,Yes,Large chiropractic group experienced with DVA cases. All DVA Gold and eligible White Card visits are bulk-billed (no gap)​hawthornechiropractic.com.au – White Card requires GP referral for service-related injury​hawthornechiropractic.com.au. Offers spine and musculoskeletal care with a veteran-centric approach​hawthornechiropractic.com.au.
Refine Physiotherapy (Bowen Hills),Physiotherapist,"22 Campbell St, Bowen Hills QLD 4006.",QLD,4006,(07) 3216 1330,admin@refinehealthgroup.com.au,refinehealthgroup.com.au,Yes,Yes,"DVA-registered physio clinic focusing on improving veterans’ function and pain levels​refinehealthgroup.com.au. Treats musculoskeletal, neurological, and cardiorespiratory conditions under DVA funding. Bills DVA directly with no cost to the veteran​refinehealthgroup.com.au (GP/Specialist referral required)."
Build Physio (Mermaid Beach),Physiotherapist,"Shop 3, 2557 Gold Coast Hwy, Mermaid Beach QLD 4218.",QLD,4218,0431 381 011,malcolm@buildphysiotherapy.com.au,buildphysiotherapy.com,Yes,Yes,"Provides personalized physiotherapy care for veterans to enhance mobility and quality of life​buildphysiotherapy.com. No gap fees – DVA clients with approved referrals incur no out-of-pocket cost​keilorroadphysio.com.au. Experienced in chronic disease management, strength and balance training for DVA patients."
Fighting Fit Physiotherapy (Nerang),Physiotherapist,"3/25 Brendan Dr, Nerang QLD 4211.",QLD,4211,0402 938 661,admin@fightingfitphysio.com.au,,Yes,Yes,"Offers an all-in-one Veterans Health Program (incl. Veterans Heart Health) with private gym access for veterans​fightingfitphysiotherapy.com.au. Physiotherapists help improve mobility, strength and endurance, and manage chronic conditions so veterans can return to an active lifestyle​fightingfitphysiotherapy.com.au. DVA sessions are fully funded (no gap) with appropriate GP referral."
Hawthorne Chiropractic (Brisbane),Chiropractor,"317 Hawthorne Rd, Hawthorne QLD 4171.",QLD,4171,(07) 3899 4899,admin@hawthornechiropractic.com.au,,Yes,Yes,Single-practitioner clinic (Dr. Nicholas Armitage) with 20+ years experience in veteran care​hawthornechiropractic.com.au. DVA visits are 100% bulk-billed with a GP care plan – no gap fee​hawthornechiropractic.com.au. Gold Card covers all care; White Card covers pre-approved conditions​hawthornechiropractic.com.au. Emphasizes personalized treatment plans and modern techniques for pain management​hawthornechiropractic.com.au​hawthornechiropractic.com.au.
Adelaide Physio & Podiatry Clinic (Pooraka),Physiotherapist,"819 Main North Rd, Pooraka SA 5095.",SA,5095,(08) 8359 8768,admin@physioandpodiatry.com.au,adelaidephysioandpodiatryclinic.com.au,Yes,Yes,"Provides physiotherapy and podiatry services to DVA patients. Veterans with Gold or White Cards are eligible for treatment​adelaidephysioandpodiatryclinic.com.au. Services include initial assessments for pain (feet, knees, back, shoulders) and ongoing treatment for chronic conditions like diabetes or arthritis​adelaidephysioandpodiatryclinic.com.au. Regular check-ups and tailored care plans help veterans manage long-term conditions."
East City Chiropractic (Norwood),Chiropractor,"32 Fullarton Rd, Norwood SA 5067.",SA,5067,(08) 8363 3733,hello@eastcitychiropractic.com.au,eastcitychiropractic.com.au,Yes,Yes,"Welcomes Adelaide veterans for chiropractic care. DVA covers the full cost – the clinic bills DVA directly with a GP referral provided​eastcitychiropractic.com.au. Treatments focus on spinal and musculoskeletal health, helping restore mobility and alleviate pain for former service members."
Revive Physiotherapy (Joondalup),Physiotherapist,"24/87 McLarty Ave, Joondalup WA 6027.",WA,6027,(08) 9300 0841,adminwa@rpwa.com.au,,Yes,Yes,Part of a veteran-friendly physio network. Entitled DVA clients are bulk-billed with no gap – Revive bills DVA directly​revivephysiowa.com.au. Gold Card covers all necessary physio/exercise physiology; White Card covers accepted disabilities (with D904 referral)​revivephysiowa.com.au​revivephysiowa.com.au. Individually tailored exercise and rehab programs are provided for veterans’ needs.
